Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Atropine,Ancillary Drugs,Bovine,0.06,NULL,mg/kg,IV,1,NULL
Butorphanol,Ancillary Drugs,Bovine,0.02,0.04,mg/kg,IV,0,NULL
Butorphanol (CRI),Ancillary Drugs,Bovine,13,NULL,µg/kg/hr,IV,0,NULL
Calcium Gluconate (23%),Ancillary Drugs,Bovine,0.3,1.1,ml/kg/hr,IV,0,NULL
Dextrose (50%),Ancillary Drugs,Bovine,0.25,0.5,g/kg,IV,0,NULL
Dobutamine,Ancillary Drugs,Bovine,0.5,5,µg/kg/min,IV,1,NULL
Dopamine,Ancillary Drugs,Bovine,1,5,µg/kg/min,IV,1,NULL
Ephedrine,Ancillary Drugs,Bovine,0.02,0.04,mg/kg,IV,0,NULL
Epinephrine,Ancillary Drugs,Bovine,6,10,µg/kg,IV,1,NULL
Epinephrine,Ancillary Drugs,Bovine,0.04,0.1,µg/kg/min,IV,0,NULL
Fentanyl,Ancillary Drugs,Bovine,2,5,µg/kg,IV,0,Loading dose
Fentanyl (CRI),Ancillary Drugs,Bovine,0.1,0.8,µg/kg/min,IV,0,NULL
Flunixin,Ancillary Drugs,Bovine,0.5,NULL,mg/kg,IV,0,For endotoxemia
Glycopyrrolate,Ancillary Drugs,Bovine,5,10,µg/kg,IV,1,NULL
Insulin,Ancillary Drugs,Bovine,0.1,NULL,U/kg,IV,0,Give after 0.5 gm/kg dextrose
Isoproterenol,Ancillary Drugs,Bovine,0.1,0.8,µg/kg,IV,1,NULL
Ketamine,Ancillary Drugs,Bovine,0.5,NULL,mg/kg,IV,0,Loading dose
Ketamine (CRI),Ancillary Drugs,Bovine,20,NULL,µg/kg/min,IV,0,NULL
Lidocaine,Ancillary Drugs,Bovine,1,2,mg/kg,IV,0,Analgesia loading dose
Lidocaine,Ancillary Drugs,Bovine,1,2,mg/kg,IV,1,Anti-arrhythmia loading dose
Lidocaine (CRI),Ancillary Drugs,Bovine,20,50,µg/kg/min,IV,0,Analgesia dose
Lidocaine (CRI),Ancillary Drugs,Bovine,0.05,0.08,mg/kg/min,IV,1,Anti-arrhythmia dose
Morphine,Ancillary Drugs,Bovine,0.1,NULL,mg/kg,IV,0,NULL
Nalbuphine,Ancillary Drugs,Bovine,0.06,NULL,mg/kg,IV,0,NULL
Phenylephrine,Ancillary Drugs,Bovine,2,4,µg/kg,IV,0,Loading dose
Phenylephrine (CRI),Ancillary Drugs,Bovine,0.2,0.4,µg/kg/min,IV,0,NULL
Potassium Chloride,Ancillary Drugs,Bovine,0.2,0.3,mEq/kg/hr,IV,0,NULL
Atipamezole,Antagonists,Bovine,30,60,µg/kg,IV,0,Give to effect
Tolazoline,Antagonists,Bovine,1,2,mg/kg,IV,0,"Give half calculated dose slowly IV, remainder to effect"
Yohimbine,Antagonists,Bovine,0.12,NULL,mg/kg,IV,0,Give to effect
Bupivacaine,Epidural Drugs,Bovine,0.01,0.02,ml/kg,NULL,0,10ml maximum volume
Detomidine,Epidural Drugs,Bovine,40,NULL,µg/kg,NULL,0,"Dilute with local anesthetic, 10 ml maximum volume"
Lidocaine,Epidural Drugs,Bovine,0.01,0.02,ml/kg,NULL,0,10ml maximum volume
Mepivacaine,Epidural Drugs,Bovine,0.01,0.02,ml/kg,NULL,0,10ml maximum volume
Xylazine,Epidural Drugs,Bovine,0.05,NULL,mg/kg,NULL,0,"Dilute with local anesthetic, 10ml maximum volume"
Crystalloid,Fluids,Bovine,5,10,ml/kg/hr,IV,0,NULL
Fluid Bolus,Fluids,Bovine,15,NULL,ml,IV,0,Given over 15 minutes
Hetastarch (6%),Fluids,Bovine,2,4,ml/kg/hr,IV,0,NULL
Hypertonic Saline,Fluids,Bovine,2,4,ml/kg/hr,IV,0,NULL
5% guaifenesin - 0.1% ketamine - 0.005% xylazine),Induction Drugs,Bovine,2.2,NULL,ml/kg,IV,0,
Ketamine - Diazepam,Induction Drugs,Bovine,4.4,NULL,mg/kg,IV,0,Ketamine dose. Give simultaneously with diazepam (0.11 mg/kg)
Ketamine - Guaifenesin,Induction Drugs,Bovine,2.2,NULL,ml/kg,IV,0,"Ketamine 1 mg/ml, Guaifenesin 50 mg/ml. Mixed together, give to effect"
Ketamine - Guaifenesin,Induction Drugs,Bovine,1.1,NULL,ml/kg,IV,0,"Ketamine 2 mg/ml, Guaifenesin 100 mg/ml. Mixed together, give to effect"
Ketamine - Midazolam,Induction Drugs,Bovine,4.4,NULL,mg/kg,IV,0,Ketamine dose. Give simultaneously with midazolam (0.11 mg/kg)
