Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Atropine,Ancillary Drugs,Camelid,0.02,NULL,mg/kg,IV,1,NULL
Butorphanol,Ancillary Drugs,Camelid,0.02,0.04,mg/kg,IV,0,NULL
Butorphanol,Ancillary Drugs,Camelid,13,NULL,µg/kg/hr,IV,0,NULL
Calcium Gluconate,Ancillary Drugs,Camelid,0.1,0.4,mg/kg/min,IV,0,NULL
Calcium Gluconate (23%),Ancillary Drugs,Camelid,0.3,1.1,ml/kg/hr,IV,0,NULL
Dextrose (50%),Ancillary Drugs,Camelid,0.25,0.5,g/kg,IV,0,NULL
Dobutamine,Ancillary Drugs,Camelid,0.5,5,µg/kg/min,IV,1,NULL
Dopamine,Ancillary Drugs,Camelid,1,5,µg/kg/min,IV,1,NULL
Ephedrine,Ancillary Drugs,Camelid,0.02,0.04,mg/kg,IV,0,NULL
Epinephrine,Ancillary Drugs,Camelid,6,10,µg/kg,IV,1,NULL
Epinephrine,Ancillary Drugs,Camelid,0.04,0.1,µg/kg/min,IV,0,NULL
Fentanyl,Ancillary Drugs,Camelid,2,5,µg/kg/min,IV,0,Loading Dose
Flunixin,Ancillary Drugs,Camelid,0.5,NULL,mg/kg,IV,0,For endotoxemia
Glycopyrrolate,Ancillary Drugs,Camelid,5,10,µg/kg,IV,1,NULL
Insulin,Ancillary Drugs,Camelid,0.1,NULL,U/kg,IV,0,Give after 0.5 gm/kg dextrose
Isoproterenol,Ancillary Drugs,Camelid,0.1,0.8,µg/kg,IV,1,NULL
Ketamine,Ancillary Drugs,Camelid,40,NULL,µg/kg/min,IV,0,NULL
Lidocaine,Ancillary Drugs,Camelid,1,2,mg/kg,IV,0,Analgesia loading dose
Lidocaine,Ancillary Drugs,Camelid,1,2,mg/kg,IV,1,Anti-arrhythmia loading dose
Lidocaine (CRI),Ancillary Drugs,Camelid,20,50,µg/kg/min,IV,0,Analgesia dose
Lidocaine (CRI),Ancillary Drugs,Camelid,0.05,0.08,mg/kg/min,IV,1,Anti-arrhythmia dose
Morphine,Ancillary Drugs,Camelid,0.1,NULL,mg/kg,IV,0,NULL
Nalbuphine,Ancillary Drugs,Camelid,0.06,NULL,mg/kg,IV,0,NULL
Phenylephrine,Ancillary Drugs,Camelid,2,4,µg/kg,IV,0,Loading dose
Phenylephrine (CRI),Ancillary Drugs,Camelid,0.2,0.4,µg/kg/min,IV,0,NULL
Potassium Chloride,Ancillary Drugs,Camelid,0.2,0.3,mEq/kg/hr,IV,0,NULL
Atipamezole,Antagonists,Camelid,30,60,µg/kg,IV,0,Give to effect
Tolazoline,Antagonists,Camelid,1,2,mg/kg,IV,0,"Give half calculated dose slowly IV, remainder to effect"
Yohimbine,Antagonists,Camelid,0.12,NULL,mg/kg,IV,0,Give to effect
Bupivacaine,Epidural Drugs,Camelid,0.01,0.02,ml/kg,NULL,0,2ml maximum volume
Lidocaine,Epidural Drugs,Camelid,0.01,0.02,ml/kg,NULL,0,2ml maximum volume
Mepivacaine,Epidural Drugs,Camelid,0.01,0.02,ml/kg,NULL,0,2ml maximum volume
