Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Atropine,Ancillary Drugs,Equine,0.02,NULL,mg/kg,IV,1,NULL
Butorphanol,Ancillary Drugs,Equine,0.02,0.04,mg/kg,IV,0,NULL
Butorphanol (CRI),Ancillary Drugs,Equine,13,NULL,µg/kg/hr,IV,0,NULL
Calcium Gluconate,Ancillary Drugs,Equine,0.1,0.4,mg/kg/min,IV,0,NULL
Calcium Gluconate (23%),Ancillary Drugs,Equine,0.3,1.1,ml/kg/hr,IV,0,NULL
Detomidine,Ancillary Drugs,Equine,0.1,0.2,µg/kg/min,IV,0,NULL
Dextrose (50%),Ancillary Drugs,Equine,0.25,0.5,g/kg,IV,0,NULL
Dobutamine,Ancillary Drugs,Equine,0.5,5,µg/kg/min,IV,1,NULL
Dopamine,Ancillary Drugs,Equine,1,5,µg/kg/min,IV,1,NULL
Ephedrine,Ancillary Drugs,Equine,0.02,0.04,mg/kg,IV,0,NULL
Epinephrine,Ancillary Drugs,Equine,6,10,µg/kg,IV,1,NULL
Epinephrine,Ancillary Drugs,Equine,0.04,0.1,µg/kg/min,IV,0,NULL
Flunixin,Ancillary Drugs,Equine,0.5,NULL,mg/kg,IV,0,For endotoxemia
Glycopyrrolate,Ancillary Drugs,Equine,5,10,µg/kg,IV,1,NULL
Insulin,Ancillary Drugs,Equine,0.1,NULL,U/kg,IV,0,Give after 0.5 gm/kg dextrose
Isoproterenol,Ancillary Drugs,Equine,0.1,0.8,µg/kg,IV,1,NULL
Ketamine,Ancillary Drugs,Equine,6.6,13.3,µg/kg/min,IV,0,NULL
Lidocaine,Ancillary Drugs,Equine,1,2,mg/kg,IV,0,Analgesia loading dose
Lidocaine,Ancillary Drugs,Equine,1,2,mg/kg,IV,1,Anti-arrhythmia loading dose
Lidocaine (CRI),Ancillary Drugs,Equine,20,50,µg/kg/min,IV,0,Analgesia dose
Lidocaine (CRI),Ancillary Drugs,Equine,0.05,0.08,mg/kg/min,IV,1,Anti-arrhythmia dose
Lidocaine (CRI),Ancillary Drugs,Equine,0.05,0.08,mg/kg/min,IV,1,Anti-arrhythmia dose
Medetomidine,Ancillary Drugs,Equine,3.5,5,µg/kg,IV,0,NULL
Medetomidine (CRI),Ancillary Drugs,Equine,3,5,µg/kg/hr,IV,0,NULL
Morphine,Ancillary Drugs,Equine,0.1,NULL,mg/kg,IV,0,NULL
Nalbuphine,Ancillary Drugs,Equine,0.06,NULL,mg/kg,IV,0,NULL
Phenylephrine,Ancillary Drugs,Equine,2,4,µg/kg,IV,0,Loading dose
Phenylephrine (CRI),Ancillary Drugs,Equine,0.2,0.4,µg/kg/min,IV,0,NULL
Potassium Chloride,Ancillary Drugs,Equine,0.2,0.3,mEq/kg/hr,IV,0,NULL
Xylazine,Ancillary Drugs,Equine,10,15,µg/kg/min,IV,0,NULL
Tolazoline,Antagonists,Equine,2,4,mg/kg,IV,0,"Give half calculated dose slowly IV, remainder to effect"
Bupivacaine,Epidural Drugs,Equine,0.01,0.02,ml/kg,NULL,0,10ml maximum volume
Detomidine,Epidural Drugs,Equine,30,60,µg/kg,NULL,0,"Dilute with local anesthetic, 10 ml maximum volume"
Lidocaine,Epidural Drugs,Equine,0.01,0.02,ml/kg,NULL,0,10ml maximum volume
Mepivacaine,Epidural Drugs,Equine,0.01,0.02,ml/kg,NULL,0,10ml maximum volume
Morphine,Epidural Drugs,Equine,0.1,NULL,mg/kg,NULL,0,Dilute with saline
Xylazine,Epidural Drugs,Equine,0.17,0.22,mg/kg,NULL,0,"Dilute with local anesthetic, 10ml maximum volume"
Crystalloid,Fluids,Equine,5,10,ml/kg/hr,IV,0,NULL
Fluid Bolus,Fluids,Equine,15,NULL,ml,IV,0,Given over 15 minutes
Hetastarch (6%),Fluids,Equine,2,4,ml/kg/hr,IV,0,Maximum 10-20 ml/kg/24 hr
Hypertonic Saline,Fluids,Equine,2,4,ml/kg/hr,IV,0,NULL
5% guaifenesin - 0.1% ketamine - 0.05% xylazine),Induction Drugs,Equine,2.2,NULL,ml/kg,IV,0,
Ketamine - Diazepam,Induction Drugs,Equine,2.2,NULL,mg/kg,IV,0,Give Xylazine (1.1 mg/kg IV) or Romifidine (0.1 mg/kg IV) first. Requires marked sedation
Ketamine - Guaifenesin,Induction Drugs,Equine,2.2,NULL,ml/kg,IV,0,"Ketamine 1 mg/ml, Guaifenesin 50 mg/ml. Mixed together, give to effect"
Ketamine - Guaifenesin,Induction Drugs,Equine,1.1,NULL,ml/kg,IV,0,"Ketamine 2 mg/ml, Guaifenesin 100 mg/ml. Mixed together, give to effect"
Ketamine - Guaifenesin,Induction Drugs,Equine,2.2,NULL,mg/kg,IV,0,"Given separately. Administer guaifenesin until horse is ataxic, followed by ketamine"
Thiopental,Induction Drugs,Equine,6,10,mg/kg,IV,0,NULL
Thiopental - Guaifenesin,Induction Drugs,Equine,2.2,NULL,ml/kg,IV,0,"Thiopental 2 mg/ml, Guaifenesin 50 mg/ml. Mixed together, give to effect"
Thiopental - Guaifenesin,Induction Drugs,Equine,1.1,NULL,ml/kg,IV,0,"Thiopental 4 mg/ml, Guaifenesin 100 mg/ml. Mixed together, give to effect"
Thiopental - Guaifenesin,Induction Drugs,Equine,4,NULL,mg/kg,IV,0,"Given separately. Administer guaifenesin until horse is ataxic, followed by thiopental"
