Drug Name,Class,Species,Low Dose,High Dose,Dose Unit,Route,Emerg.,Notes
Atropine,Ancillary Drugs,Ovine,0.06,NULL,mg/kg,IV,1,NULL
Butorphanol,Ancillary Drugs,Ovine,0.02,0.04,mg/kg,IV,0,NULL
Butorphanol (CRI),Ancillary Drugs,Ovine,13,NULL,µg/kg/hr,IV,0,NULL
Calcium Gluconate,Ancillary Drugs,Ovine,0.1,0.4,mg/kg/min,IV,0,NULL
Calcium Gluconate (23%),Ancillary Drugs,Ovine,0.3,1.1,ml/kg/hr,IV,0,NULL
Dextrose (50%),Ancillary Drugs,Ovine,0.25,0.5,g/kg,IV,0,NULL
Dobutamine,Ancillary Drugs,Ovine,0.5,5,µg/kg/min,IV,1,NULL
Dopamine,Ancillary Drugs,Ovine,1,5,µg/kg/min,IV,1,NULL
Ephedrine,Ancillary Drugs,Ovine,0.02,0.04,mg/kg,IV,0,NULL
Epinephrine,Ancillary Drugs,Ovine,6,10,µg/kg,IV,1,NULL
Epinephrine,Ancillary Drugs,Ovine,0.04,0.1,µg/kg/min,IV,0,NULL
Fentanyl,Ancillary Drugs,Ovine,2,5,µg/kg,IV,0,Loading dose
Fentanyl (CRI),Ancillary Drugs,Ovine,0.1,0.8,µg/kg/min,IV,0,NULL
Flunixin,Ancillary Drugs,Ovine,0.5,NULL,mg/kg,IV,0,For endotoxemia
Glycopyrrolate,Ancillary Drugs,Ovine,5,10,µg/kg,IV,1,NULL
Insulin,Ancillary Drugs,Ovine,0.1,NULL,U/kg,IV,0,Give after 0.5 gm/kg dextrose
Isoproterenol,Ancillary Drugs,Ovine,0.1,0.8,µg/kg,IV,1,NULL
Ketamine,Ancillary Drugs,Ovine,0.5,NULL,mg/kg,IV,0,Loading dose
Ketamine (CRI),Ancillary Drugs,Ovine,20,NULL,µg/kg/min,IV,0,NULL
Lidocaine,Ancillary Drugs,Ovine,1,2,mg/kg,IV,0,Analgesia loading dose
Lidocaine,Ancillary Drugs,Ovine,1,2,mg/kg,IV,1,Anti-arrhythmia loading dose
Lidocaine,Ancillary Drugs,Ovine,50,80,µg/kg/min,IV,0,Anti-arrhythmia dose
Lidocaine (CRI),Ancillary Drugs,Ovine,20,100,µg/kg/min,IV,0,Analgesia dose
Morphine,Ancillary Drugs,Ovine,0.1,NULL,mg/kg,IV,0,NULL
Nalbuphine,Ancillary Drugs,Ovine,0.06,NULL,mg/kg,IV,0,NULL
Phenylephrine,Ancillary Drugs,Ovine,2,4,µg/kg,IV,0,Loading dose
Phenylephrine (CRI),Ancillary Drugs,Ovine,0.2,0.4,µg/kg/min,IV,0,NULL
Potassium Chloride,Ancillary Drugs,Ovine,0.2,0.3,mEq/kg/hr,IV,0,NULL
Atipamezole,Antagonists,Ovine,30,60,µg/kg,IV,0,Give to effect
Tolazoline,Antagonists,Ovine,1,2,mg/kg,IV,0,"Give half calculated dose slowly IV, remainder to effect"
Yohimbine,Antagonists,Ovine,0.12,NULL,mg/kg,IV,0,Give to effect
Bupivacaine,Epidural Drugs,Ovine,0.01,0.02,ml/kg,NULL,0,3ml maximum volume
Lidocaine,Epidural Drugs,Ovine,0.01,0.02,ml/kg,NULL,0,3ml maximum volume
